1,"El pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.","El alimento marino con aletas y escamas es una comida que se descompone con el tiempo, por eso en tiempos antiguos solían usarse varias formas sencillas como el ahumado o la salación."
1,"El marisco de aletas y escamas es un alimento que se estropea con el tiempo, por lo que en la antigüedad se utilizaban varias formas sencillas como el ahumado o el salazón.",
"
"
2,El proceso que se empleaba en China era muy novedoso se dejaba enmohecer el arroz con aspergillus oryzae que tiene un aspecto de polvo verde y se metían los pescados enteros en ánforas bien selladas.,La técnica que se usaba en China era en extremo nueva el arroz se permitía que el arroz se llenara del moho aspergillus oryzae que parece polvo verde y se revolcaban enteros los alimentos en recipientes bien sellados.
2,La tecnología utilizada en China era tan nueva que se permitió que el arroz llenara el molde de Aspergillus oryzae que parecía polvo verde y la comida se envolvió completamente en recipientes herméticos.,
"
"
3,"El moho se dedica a consumir los hidratos de carbono existentes en el arroz debido a la acción de los enzimas, éstos poseen la capacidad de transformar las cadenas complejas de hidratos de carbono presentes en arroz azúcares simples (glucosa), de la misma forma estos enzimas digestivos del propio pescado rompen las proteínas de su carne para obtener los diferentes aminoácidos.","El moho consume los carbohidratos de carbono que hay en el arroz por medio de la acción las enzimas, quienes tienen la función de hacer que las cadenas complejas de hidratos de carbono del arroz se hagan azúcares  simples, o sea glucosa, así mismo, las enzimas digestivas del mismo pescado rompen las proteínas de su cuerpo para hacer varios aminoácidos."
3,"El moho consume los carbohidratos del arroz a través de la acción de enzimas, que tienen la función de hacer que las complejas cadenas de carbohidratos del arroz se conviertan en azúcares simples, es decir glucosa, y de igual forma, las enzimas digestivas de un mismo pescado descomponen las proteínas del cuerpo para producir diferentes aminoácidos.",
"
"
4,"Este método de conservación de pescados enteros, hace además que los propios enzimas del pescado generen un potente saborizante denominado inosina monofosfato (IMP).",Esta forma de hacer duraderos los pescados provoca que las mismas enzimas de dicho alimento suelten un saborizante fuerte que se llama inosina monofosfato.
4,Esta forma de hacer que el pescado sea duradero hace que produzca las mismas enzimas que se encuentran en la comida para liberar un sabor fuerte llamado monofosfato de inosina.,
"
"
5,"La forma de conservar el pescado en salazón era aplicable a las poblaciones que vivían a lo largo del río Mekong, hoy en día es conocida en Japón con el nombre de shiokara, una especie de salsa de pescado (similar al garum romano).","El método para conservar sazonado el pescado solía ser factible de realizarse en los pueblos que existían en el río Mekong, actualmente se le conoce como shiokara en Japón, es una tipo de salsa de pescado."
5,"La conservación del pescado sazonado era factible en las ciudades que estaban ubicadas en el río Mekong, y hoy se conoce como shiokara en Japón, y es un tipo de salsa de pescado.",
"
"
6,Las poblaciones de la costa no necesitaban aplicar estos métodos de conservación ya que disponían de pescado durante todo el año.,"Los pueblos que había junto al mar no necesitaban hacer esto, pues todo el año tenían alimento del mar, o sea pescado."
6,"Los pueblos que estaban junto al mar no necesitaban hacer esto, porque todo el año comían del mar, es decir, pescado.",
"
"
